TAG number,Equipment Description
13-03-452,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #32
13-03-453,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #33
13-03-454,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #34
13-03-462,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #42
13-03-463,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #43
13-03-464,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #44
13-03-471,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #51
13-03-472,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #52
13-03-473,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #53
13-03-474,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #54
13-03-475,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #55
13-04-010-01,"CARN. WASH THICKENER RAKE MOTOR ""NORTH"" PUMP #01"
13-04-010-02,"CARN. WASH THICKENER RAKE MOTOR ""SOUTH"" PUMP#02"
13-04-010-03,"CARN. WASH THICKENER RAKE MOTOR ""LIFTTING"" PUMP#01"
13-04-010-04,"CARN. WASH THICKENER RAKE MOTOR ""LIFTTING"" PUMP#02"
13-04-010-05,CARN. WASH THICKENER RAKE OIL TANK COOLANT FAN
13-04-010-CONTROL PANEL,CARN. WASH THICKENER RAKE LOCAL CONTROL PANEL 230V
13-04-010-HEATER PANEL,CARN. WASH THICKENER RAKE LOCAL HEATER PANEL 400V
13-04-011-01,CAR. THICKENER HYD.DRIVE PUMP #01 MOTOR
13-04-011-02,CAR. THICKENER HYD.DRIVE PUMP #02 MOTOR
13-04-011-03 (A),"CARN. THICKENER RAKE ""HYD LIFTTING PUMP A"""
13-04-011-03 (B),"CARN. THICKENER RAKE ""HYD LIFTTING PUMP B"""
13-04-011-LOCAL PANEL,CARNLITE THICKENER 230V LOCAL CONTROL PANEL
13-04-012-01,"1ST STAGE THICKENER RAKE "" NORTH"""
13-04-012-02,"1ST STAGE THICKENER RAKE "" SOUTH"""
13-04-012-03,"1ST STAGE THICKENER RAKE "" LIFTTING"""
13-04-020-01,"SULV. THICKENER RAKE MOTOR ""NORTH"""
13-04-020-02,"SULV. THICKENER RAKE MOTOR ""SOUTH"""
13-04-020-03,"SULV. THICKENER RAKE MOTOR ""LIFTTING"""
13-04-031-01,NEW HOT BRINE THICKNER RAKE MOTOR #01
13-04-031-02,NEW HOT BRINE THICKNER RAKE MOTOR #02
13-04-031-03,NEW HOT BRINE THICKNER RAKE LIFTTING MOTOR #03
13-04-031-04,NEW HOT BRINE THICKNER RAKE LIFTTING MOTOR #04
13-04-031-05,NEW HOT BRINE THICKNER OIL COOLING FAN MOTOR #01
13-04-031-06,NEW HOT BRINE THICKNER OIL COOLING FAN MOTOR #02
13-04-031-LOCAL PANEL,NEW HOT BRINE THICKNER  LOCAL PANEL FEEDER
13-04-051-01,MOTHER LIQUOR THICKENER DRIVE RAKE PUMP #01 MOTOR
13-04-051-02,MOTHER LIQUOR THICKENER DRIVE RAKE PUMP #02 MOTOR
13-04-051-03,MOTHER LIQUOR THICKENER RAKE LIFT MOTOR
13-04-051-04,MOTHER LIQUOR THICKENER OIL COOLING FAN MOTOR #01
13-04-051-05,MOTHER LIQUOR THICKENER OIL COOLING FAN MOTOR #02
13-04-051-06,MOTHER LIQUOR THICKENER OIL TANK HEATER WITH THERMOSTAT
13-05-007(81),DECOMPOSTION TANK #07 AGITATOR MOTOR
13-05-008(82),DECOMPOSTION TANK #08 AGITATOR MOTOR
13-05-011,CARNALLITE SURGE TANK #01
13-05-012,CARNALLITE SURGE TANK #02
13-05-013,CARNALLITE SURGE TANK #03
13-05-014(90),CARNALLITE SURGE TANK #04
13-05-015,REACTOR TNK. AGITATOR 
13-05-016-01,STONE REMOVAL REPULP TANK AGITATOR #016
13-05-016-02,STONE REMOVAL REPULP TANK AGITATOR #016 LUBRICANT PUMP
13-05-026,WASH THICKENER REPULP TANK AGITATOR #26
13-05-030,DECOMPOSTION TANK #01 AGITATOR MOTOR
13-05-040,DECOMPOSTION TANK #02 AGITATOR MOTOR
13-05-050,DECOMPOSTION TANK #03 AGITATOR MOTOR
13-05-060,DECOMPOSTION TANK #04 AGITATOR MOTOR
13-05-070,DECOMPOSTION TANK #05 AGITATOR MOTOR
13-05-077,NEW UPGRADING SCREEN TANK AGITATOR
13-05-080,DECOMPOSTION TANK #06 AGITATOR MOTOR
13-05-091,SYLV. SURGE TNK. AGITATOR #91 
13-05-095,CARNALITE RE-PULP TANK AGITATOR #95
13-05-100,HOT LEACH TANK #01 AGITATOR MOTOR
13-05-110,HOT LEACH TANK #02 AGITATOR MOTOR
13-05-120,HOT LEACH TANK #03 AGITATOR MOTOR
13-05-130,HOT LEACH TANK #04 AGITATOR MOTOR
13-05-131,HOT LEACH TANK #05 AGITATOR MOTOR
13-05-132,HOT LEACH TANK #06 AGITATOR MOTOR
13-05-150,TAIL REPULP TANK #150 AGITATOR MOTOR 
13-05-160,CRYSTALLIZER #01 AGITATOR MOTOR
13-05-170,CRYSTALLIZER #02 AGITATOR MOTOR
13-05-180,CRYSTALLIZER #03 AGITATOR MOTOR
13-05-181,CRYSTALLIZER #06 AGITATOR MOTOR
13-05-190,CRYSTALLIZER #04 AGITATOR MOTOR
13-05-200,CRYSTALLIZER #05 AGITATOR MOTOR
13-05-240,PRODUCT TNK. AGITATOR MOTOR #240
13-21-012,CARNALITE CENTRIFUGE #12
13-21-013,CARNALITE CENTRIFUGE #13
13-21-014,CARNALITE CENTRIFUGE #14
13-21-015,CARNALITE CENTRIFUGE #15
13-21-016,CARNALITE CENTRIFUGE #16
13-21-022,CARNALITE CENTRIFUGE #22
13-21-023,CARNALITE CENTRIFUGE #23
13-21-024,CARNALITE CENTRIFUGE #24
13-21-025,CARNALITE CENTRIFUGE #25
13-21-026,CARNALITE CENTRIFUGE #26
13-21-027,CARNALITE CENTRIFUGE #27
13-21-031,TAILS CENTRIFUGE #31
13-21-032,TAILS CENTRIFUGE #32
13-21-033,TAILS CENTRIFUGE #33
13-21-034,TAILS CENTRIFUGE #34
13-21-042,PRODUCT CENTRIFUGE #42
13-21-043,PRODUCT CENTRIFUGE #43
13-21-044,PRODUCT CENTRIFUGE #44
13-21-051,WASH THICKENER CENTRIFUGE #51
13-21-052,WASH THICKENER CENTRIFUGE #52
13-21-053,WASH THICKENER CENTRIFUGE #53
13-21-054,WASH THICKENER CENTRIFUGE #54
13-21-055,WASH THICKENER CENTRIFUGE #55
13-22-011 (VFD),DRIVE SYESTEM FOR BELT FILTER #11 (VFD)
13-22-012 (VFD),DRIVE SYESTEM FOR BELT FILTER #12 (VFD)
13-22-013 (VFD),DRIVE SYESTEM FOR BELT FILTER #13 (VFD)
13-28-100,SYLVANITE UP GRADING SCREEN #100
13-28-101,SYLVANITE UP GRADING SCREEN #101
13-28-102,SYLVANITE UP GRADING SCREEN #102
13-28-103,STONE REMOVAL REPULP TANK SCREEN #103
13-28-104,STONE REMOVAL REPULP TANK SCREEN #104
13-29-011,CARNALITE CONVEYOR BELT #11
13-29-012,CARNALITE CONVEYOR BELT #12
13-29-020,NEW CARNALITE CONVEYOR BELT #20
13-29-040,SYLVANITE CONVEYOR BELT #40
13-29-050,WASH THICKENER REPULP BELT CONVEYOR
13-29-060,DRYER FEED CONVEYOR BELT #60
